11.07.2023 11:20:11: Voltage:0;MaxVoltage:0,12;MinVoltage:0;Ampere:0;MaxAmpere:0;MinAmpere:0;Temperature:0;MaxTemperature:0,02;MinTemperature:0
11.07.2023 11:20:13: Voltage:0,01;MaxVoltage:0,12;MinVoltage:0;Ampere:0;MaxAmpere:0;MinAmpere:0;Temperature:0;MaxTemperature:0,02;MinTemperature:0
11.07.2023 11:20:15: Voltage:0;MaxVoltage:0,12;MinVoltage:0;Ampere:0;MaxAmpere:0;MinAmpere:0;Temperature:0;MaxTemperature:0,02;MinTemperature:0
11.07.2023 11:20:17: Voltage:0,01;MaxVoltage:0,12;MinVoltage:0;Ampere:0;MaxAmpere:0;MinAmpere:0;Temperature:0,01;MaxTemperature:0,02;MinTemperature:0
11.07.2023 11:20:19: Voltage:0;MaxVoltage:0,12;MinVoltage:0;Ampere:0;MaxAmpere:0;MinAmpere:0;Temperature:0;MaxTemperature:0,02;MinTemperature:0
11.07.2023 11:20:21: Voltage:0;MaxVoltage:5,57;MinVoltage:0;Ampere:0;MaxAmpere:0;MinAmpere:0;Temperature:0;MaxTemperature:0,02;MinTemperature:0
11.07.2023 11:20:23: Voltage:0,01;MaxVoltage:5,57;MinVoltage:0;Ampere:0;MaxAmpere:0;MinAmpere:0;Temperature:0,01;MaxTemperature:0,02;MinTemperature:0
11.07.2023 11:20:25: Voltage:0;MaxVoltage:5,57;MinVoltage:0;Ampere:0;MaxAmpere:0;MinAmpere:0;Temperature:0,01;MaxTemperature:0,02;MinTemperature:0
11.07.2023 11:20:27: Voltage:0;MaxVoltage:5,57;MinVoltage:0;Ampere:0;MaxAmpere:0;MinAmpere:0;Temperature:0;MaxTemperature:0,02;MinTemperature:0
11.07.2023 11:20:29: Voltage:0;MaxVoltage:5,57;MinVoltage:0;Ampere:0;MaxAmpere:0;MinAmpere:0;Temperature:0;MaxTemperature:0,02;MinTemperature:0
11.07.2023 11:20:31: Voltage:0;MaxVoltage:5,57;MinVoltage:0;Ampere:0;MaxAmpere:0;MinAmpere:0;Temperature:0,01;MaxTemperature:0,02;MinTemperature:0
11.07.2023 11:20:33: Voltage:0,01;MaxVoltage:5,57;MinVoltage:0;Ampere:0;MaxAmpere:0;MinAmpere:0;Temperature:0,01;MaxTemperature:0,02;MinTemperature:0
11.07.2023 11:20:35: Voltage:0,01;MaxVoltage:5,57;MinVoltage:0;Ampere:0;MaxAmper11.07.2023 11:27:29: 
